question,answer,source_page,source_title
What is Vizcom?,Vizcom is an AI design platform for product designers and creative teams that helps bring ideas to life.,https://vizcom.com,"Vizcom | Turn Sketches into Full-Fidelity 3D Renders, Instantly"
How do I get started with Vizcom?,"You can get started with Vizcom by booking a demo or signing up for the starter plan, which is completely free and requires no credit card.",https://vizcom.com,"Vizcom | Turn Sketches into Full-Fidelity 3D Renders, Instantly"
"What is the difference between Admin, Editor, and Viewer roles in Vizcom?","Admins can edit files, manage settings, and invite members, while Editors can only edit files. Viewers can only view files in read-only mode and are free.",https://vizcom.com,"Vizcom | Turn Sketches into Full-Fidelity 3D Renders, Instantly"
Can I use Vizcom for free?,"Yes, Vizcom offers a free starter plan with no credit card required, allowing you to explore the platform's features.",https://vizcom.com,"Vizcom | Turn Sketches into Full-Fidelity 3D Renders, Instantly"
How does Vizcom handle team billing?,"Team billing is handled centrally by the Admin, with all paid seats included in a single invoice under the same billing cycle, while Viewers remain free and do not affect the cost.",https://vizcom.com,"Vizcom | Turn Sketches into Full-Fidelity 3D Renders, Instantly"
Do I own the content I produce in Vizcom?,"Yes, you own everything you create in Vizcom, and for paid users, your images and designs remain entirely private and are only used to deliver the service.",https://vizcom.com,"Vizcom | Turn Sketches into Full-Fidelity 3D Renders, Instantly"
Can Vizcom be used to animate objects?,"Yes, Vizcom allows you to add motion to your objects by animating them, and you can also direct your story using the Animate feature.",https://vizcom.com,"Vizcom | Turn Sketches into Full-Fidelity 3D Renders, Instantly"
What payment methods are accepted by Vizcom?,Vizcom accepts all major credit and debit cards for payment.,https://vizcom.com,"Vizcom | Turn Sketches into Full-Fidelity 3D Renders, Instantly"
What values does Vizcom follow in its work culture?,"Vizcom's values include Think In Decades, Act In Days, Be Obsessed With 'What If', Celebrate Individuality, Communicate Through Action, and Run Fast With Good Form.",https://vizcom.com/careers,Careers at Vizcom | Join Us in Building the Future of Design
How does Vizcom support the financial health of its employees?,Vizcom supports the financial health of its employees through equity ownership in Vizcom and a 401(k) with an employer match.,https://vizcom.com/careers,Careers at Vizcom | Join Us in Building the Future of Design
What benefits does Vizcom offer to its employees?,"Vizcom offers benefits such as 100% employer-sponsored medical benefits, dental, vision, and mental health support, as well as flexibility in working hours and a generous learning and development allowance.",https://vizcom.com/careers,Careers at Vizcom | Join Us in Building the Future of Design
Can I work remotely at Vizcom?,"Yes, Vizcom has a hybrid culture with flexible working hours, allowing employees to work remotely or in the office.",https://vizcom.com/careers,Careers at Vizcom | Join Us in Building the Future of Design
What kind of people is Vizcom looking to hire?,"Vizcom is looking for people who are builders at heart, craft-obsessed, growth-minded, and owners, not renters, who take responsibility for outcomes.",https://vizcom.com/careers,Careers at Vizcom | Join Us in Building the Future of Design
